senator_id,senator_name
angara_edgardo,"Angara, Edgardo"
aquino_noynoy,"Aquino, Benigno III (Noynoy)"
arroyo_joker,"Arroyo, Joker"
bautista_martin,"Bautista, Martin"
cantal_felix,"Cantal, Felix"
cayetano_alanpeter,"Cayetano, Alan Peter"
cayetano_joselito,"Cayetano, Joselito (Jojo)"
chavez_melchor,"Chavez, Melchor"
coseteng_nikki,"Coseteng, Anna Dominique (Nikki)"
defensor_mike,"Defensor, Michael (Mike)"
enciso_ruben,"Enciso, Ruben"
escudero_chiz,"Escudero, Francis (Chiz)"
estrella_antonio,"Estrella, Antonio"
gomez_richard,"Gomez, Richard"
honasan_gringo,"Honasan, Gregorio (Gringo)"
kiram_jamalul,"Kiram, Jamalul III"
lacson_ping,"Lacson, Panfilo (Ping)"
legarda_loren,"Legarda, Loren"
lozano_oliver,"Lozano, Oliver"
magsaysay_vic,"Magsaysay, Vicente (Vic)"
montano_cesar,"Montano, Cesar"
oreta_tessie,"Aquino-Oreta, Teresa (Tessie)"
orpilla_ed,"Orpilla, Eduardo"
osmena_john,"Osmena, John Henry"
pangilinan_kiko,"Pangilinan, Francis (Kiko)"
paredes_zosimo,"Paredes, Zosimo"
pichay_prospero,"Pichay, Prospero"
pimentel_koko,"Pimentel, Aquilino III (Koko)"
recto_ralph,"Recto, Ralph"
roco_sonia,"Roco, Sonia"
singson_chavit,"Singson, Luis (Chavit)"
sison_adrian,"Sison, Adrian"
sotto_tito,"Sotto, Vicente (Tito)"
trillanes_antonio_iv,"Trillanes, Antonio IV"
villar_manny,"Villar, Manuel Jr. (Manny)"
wood_victor,"Wood, Victor"
zubiri_migz,"Zubiri, Juan Miguel (Migz)"
revilla_bong,"Revilla, Ramon Jr. (Bong)"
estrada_jinggoy,"Estrada, Jinggoy"
defensorsantiago_miriam,"Defensor Santiago, Miriam"
drilon_frank,"Drilon, Frank"
enrile_juanponce_sr,"Enrile, Juan Ponce"
cayetano_pia,"Cayetano, Pia"
marcos_ferdinand_jr,"Marcos, Ferdinand Jr. (Bongbong)"
osmena_serge,"Osmena, Sergio III (Serge)"
lapid_lito,"Lapid, Lito"
guingona_teofisto_iii,"Guingona, Teofisto III"
hontiveros_risa,"Hontiveros, Risa"
biazon_rozzano_rufino,"Biazon, Rozzano Rufino"
devenecia_jose_iii,"De Venecia, Jose III"
remulla_gilbert_cesar,"Remulla, Gilbert Cesar"
lim_danilo,"Lim, Danilo"
querubin_ariel,"Querubin, Ariel"
pimentel_gwendolyn,"Pimentel, Gwendolyn"
acosta_nereus_jr,"Acosta, Nereus Jr."
lacson_alex,"Lacson, Alexander (Alex)"
tamano_adel,"Tamano, Adel"
osmena_emiliomario,"Osmena, Emilio Mario"
maza_liza,"Maza, Liza"
ocampo_saturnino,"Ocampo, Saturnino"
tatad_francisco,"Tatad, Francisco"
lozada_jose_apolinario_jr,"Lozada, Jose Apolinario Jr."
mitra_ramon,"Mitra, Ramon"
langit_rey,"Langit, Rey"
bello_silvestre_iii,"Bello, Silvestre III"
lao_yasmin,"Lao, Yasmin"
papin_imelda,"Papin, Imelda"
ople_susan,"Ople, Susan"
plaza_rodolfo,"Plaza, Rodolfo"
bautista_jv,"Bautista, J.V."
guico_ramon_jr,"Guico, Ramon Jr."
lambino_raul,"Lambino, Raul"
villanueva_hector,"Villanueva, Hector"
ocampo_ramoncito,"Ocampo, Ramoncito"
inocencio_ma_katherine,"Inocencio, Ma. Katherine"
palparan_jovito_jr,"Palparan, Jovito Jr."
tinsay_alexander,"Tinsay, Alexander"
alonto_zafrullah,"Alonto, Zafrullah"
tamayo_reginald,"Tamayo, Reginald"
espinosa_nanette,"Espinosa, Nanette"
maambong_regalado,"Maambong, Regalado"
david_rizalito,"David, Rizalito"
albani_shariff,"Albani, Shariff Ibrahim"
virgines_israel,"Virgines, Israel"
imbong_jo_aurea,"Imbong, Jo Aurea"
princesa_reynaldo,"Princesa, Reynaldo"
nikabulin_adz,"Nikabulin, Adz"
caunan_henry,"Caunan, Henry"
valdehuesa_manuel_jr,"Valdehuesa, Manuel Jr."
tarrazona_hector,"Tarrazona, Hector"
rinoza_plazo_maria_gracia,"Riñoza-Plazo, Maria Gracia"
lood_alma,"Lood, Alma"
alcantara_samson,"Alcantara, Samson"
aquino_bam,"Aquino, Paolo Benigno (Bam)"
belgica_greco,"Belgica, Greco"
binay_nancy,"Binay, Nancy"
casino_teddy,"Casino, Teddy"
cojuangco_tingting,"Cojuangco, Tingting"
david_lito,"David, Lito"
delosreyes_jc,"Delos Reyes, JC"
ejercito_jv,"Ejercito Estrada, JV"
enrile_juanponce_jr,"Enrile, Juan Ponce Jr."
falcone_bal,"Falcone, Bal"
gordon_dick,"Gordon, Dick"
hagedorn_ed,"Hagedorn, Ed"
llasos_marwil,"Llasos, Marwil"
maceda_manong_ernie,"Maceda, Manong Ernie"
madrigal_jamby,"Madrigal, Jamby"
magsaysay_mitos,"Magsaysay, Mitos"
magsaysay_ramon_jr,"Magsaysay, Ramon Jr."
montano_mon,"Montano, Mon"
penson_ricardo,"Penson, Ricardo"
poe_grace,"Poe, Grace"
seneres_christian,"Seneres, Christian"
villanueva_eddie,"Villanueva, Eddie"
villar_cynthia,"Villar, Cynthia"
villanueva_joel,"Villanueva, Joel"
pacquiao_manny,"Pacquiao, Manny"
gatchalian_win,"Gatchalian, Sherwin (Win)"
delima_leila,"De Lima, Leila"
tolentino_francis,"Tolentino, Francis"
romualdez_martin,"Romualdez, Martin"
domagoso_isko_moreno,"Domagoso, Isko Moreno"
guingona_tg,"Guingona, Tg"
petilla_carlos_jericho,"Petilla, Carlos Jericho"
lapid_mark,"Lapid, Mark"
colmenares_neri,"Colmenares, Neri"
manzano_edu,"Manzano, Edu"
romulo_roman,"Romulo, Roman"
lacsamana_alma_moreno,"Lacsamana, Alma Moreno"
alunan_raffy,"Alunan, Raffy"
gadon_larry,"Gadon, Larry"
santiago_dionisio,"Santiago, Dionisio"
kapunan_lorna,"Kapunan, Lorna"
pagdilao_samuel,"Pagdilao, Samuel"
ambolodto_ina,"Ambolodto, Ina"
napenas_getulio,"Napenas, Getulio"
montano_allan,"Montano, Allan"
bello_walden,"Bello, Walden"
kiram_princess_jacel,"Kiram, Princess Jacel"
paez_mr_coop,"Paez, Mr. Coop"
cam_sandra,"Cam, Sandra"
liban_dante,"Liban, Dante"
ali_aldin,"Ali, Aldin"
maganto_romeo,"Maganto, Romeo"
arquiza_godofredo,"Arquiza, Godofredo"
baligod_levito,"Baligod, Levito"
valeroso_diosdado,"Valeroso, Diosdado"
dorona_ray,"Dorona, Ray"
kabalu_eid,"Kabalu, Eid"
abejo_vangie,"Abejo, Vangie"
afuang_abner,"Afuang, Abner"
aguilar_freddie,"Aguilar, Freddie"
alejano_gary,"Alejano, Gary"
alfajora_richard,"Alfajora, Richard"
arcega_gerald,"Arcega, Gerald"
arellano_ernesto,"Arellano, Ernesto"
arias_marcelino,"Arias, Marcelino"
austria_bernard,"Austria, Bernard"
baldevarona_balde,"Baldevarona, Balde"
caceres_jesus,"Caceres, Jesus"
casino_toti,"Casino, Edmundo (Toti)"
chong_glenn,"Chong, Glenn"
deguzman_leody,"De Guzman, Leody (Ka Leody)"
delarosa_bato,"Dela Rosa, Ronald (Bato)"
diokno_chel,"Diokno, Jose Manuel (Chel)"
escudero_agnes,"Escudero, Agnes"
francisco_elmer,"Francisco, Elmer"
gaddi_charlie,"Gaddi, Charlie"
generoso_gen_pederalismo,"Generoso, Conrado (Gen Pederalismo)"
go_bong,"Go, Bong"
guigayuma_junbert,"Guigayuma, Junbert"
gutoc_samira,"Gutoc, Samira"
hilbay_pilo,"Hilbay, Pilo"
jangao_bfg_abraham,"Jangao, Leborio Jr. (Bfg Abraham)"
javellana_rj,"Javellana, RJ"
macalintal_macaromy,"Macalintal, Macaromy"
mallillin_emily,"Mallillin, Emily"
mangondato_faisal,"Mangondato, Faisal"
mangudadatu_dong,"Mangudadatu, Dong"
manicad_jiggy,"Manicad, Jiggy"
marcos_imee,"Marcos, Imee"
matula_sonny,"Matula, Jose (Sonny)"
meniano_luther,"Meniano, Luther"
nalliw_joan_sheelah,"Nalliw, Joan Sheelah"
ong_willie,"Ong, Willie (Doc Willie)"
padilla_dado,"Padilla, Dado"
roleda_dan_kaibigan,"Roleda, Dan Kaibigan"
roxas_mar,"Roxas, Mar"
sahidulla_ladyann,"Sahidulla, Lady Ann"
tanada_lorenzo_erin_tapat,"Tañada, Lorenzo Erin Tapat"
valdes_butch,"Valdes, Butch"
arranza_jesus,"Arranza, Jesus"
baguilat_teddy,"Baguilat, Teodoro (Teddy)"
bailen_agnes,"Bailen, Agnes"
balita_carl,"Balita, Carlito (Carl)"
barbo_lutgardo,"Barbo, Lutgardo (Lutz)"
bautista_herbert,"Bautista, Herbert Constantine (Bistek)"
bello_silvestre,"Bello, Silvestre Jr."
binay_jejomar,"Binay, Jejomar"
cabonegro_roy,"Cabonegro, Roy"
castriciones_john,"Castriciones, John"
dangelo_david,"D'Angelo, David"
delrosario_monsour,"Del Rosario, Monsour III"
diaz_fernando,"Diaz, Fernando"
eleazar_guillermo,"Eleazar, Guillermo"
ereno_ernie,"Ereno, Ernie"
espiritu_luke,"Espiritu, Luke"
kiram_nurmahal,"Kiram, Nur-Mahal"
labog_elmer,"Labog, Elmer"
lim_ariel,"Lim, Ariel"
marcoleta_rodante,"Marcoleta, Rodante"
mindalano_adam_marieta,"Mindalano-Adam, Marieta"
olarte_leo,"Olarte, Leo"
padilla_minguita,"Padilla, Ma. Dominga Cecilia (Minguita)"
padilla_robin,"Padilla, Robinhood Ferdinand (Robin)"
panelo_salvador,"Panelo, Salvador (Sal)"
pinol_emmanuel,"Pinol, Emmanuel (Manny)"
ricablanca_willie,"Ricablanca, Willie Jr."
roque_harry,"Roque, Harry"
sison_jopet,"Sison, Jose Peter (Jopet)"
teodoro_gilberto,"Teodoro, Gilberto (Gibo)"
tulfo_raffy,"Tulfo, Rafael (Raffy)"
valeros_reynaldo,"Valeros, Reynaldo Jr."
villar_mark,"Villar, Mark"
zubiaga_carmen,"Zubiaga, Carmen"
abalos_benhur,"Abalos, Benhur"
adonis_jerome,"Adonis, Jerome"
amad_wilson,"Amad, Wilson"
andamo_nars_alyn,"Andamo, Nars Alyn"
arambulo_ronnel,"Arambulo, Ronnel"
ballon_roberto,"Ballon, Roberto"
binay_abby,"Binay, Abigail (Abby)"
bondoc_jimmy,"Bondoc, Jimmy"
bosita_colonel,"Bosita, Colonel"
brosas_arlene,"Brosas, Arlene"
capuyan_allen,"Capuyan, Allen"
castro_france,"Castro, France"
dealban_angelo,"De Alban, Angelo"
doringo_nanay_mimi,"Doringo, Nanay Mimi"
escobal_arnel,"Escobal, Arnel"
floranda_mody_piston,"Floranda, Mody Piston"
gamboa_marc_louie,"Gamboa, Marc Louie"
gonzales_norberto,"Gonzales, Norberto"
hinlo_jayvee,"Hinlo, Jayvee"
jose_relly_jr,"Jose, Relly Jr."
lee_manoy_wilbert,"Lee, Manoy Wilbert"
lidasan_amirah,"Lidasan, Amirah"
marquez_norman,"Marquez, Norman"
martinez_eric,"Martinez, Eric"
mata_doc_marites,"Mata, Doc Marites"
mendoza_heidi,"Mendoza, Heidi"
montemayor_joey,"Montemayor, Joey"
mustapha_subair,"Mustapha, Subair"
olivar_jose_jessie,"Olivar, Jose Jessie"
querubin_ariel_porfirio,"Querubin, Ariel Porfirio"
quiboloy_apollo,"Quiboloy, Apollo"
ramos_danilo,"Ramos, Danilo"
revillame_willie_wil,"Revillame, Willie Wil"
rodriguez_vic,"Rodriguez, Vic"
salvador_phillip_ipe,"Salvador, Phillip Ipe"
tapado_michael_bongbong,"Tapado, Michael Bongbong"
tulfo_ben,"Tulfo, Ben (Bitag)"
tulfo_erwin,"Tulfo, Erwin"
valbuena_mar_manibela,"Valbuena, Mar Manibela"
verceles_leandro,"Verceles, Leandro"
villar_camille,"Villar, Camille"
